dimension_id,dimension,factor1_correlation,factor1_p_value,factor1_significant,factor2_correlation,factor2_p_value,factor2_significant
0,metallic/artificial,0.19043301916111541,2.7282061683197473e-09,True,-0.30671985467744212,2.3273394959105745e-22,True
1,food-related,0.40483052666692609,3.6840720797256957e-39,True,0.27752793091011074,1.9466483334763254e-18,True
2,animal-related,-0.61954202256549618,7.6582715082410959e-103,True,0.19056646261189608,2.6583591246838566e-09,True
3,textile,-0.1113594752903892,0.00054701983809676282,True,0.021588024674811829,0.50407813833180848,False
4,plant-related,0.24876427340996515,5.2445462887981517e-15,True,0.2232248385143113,2.6371946236591215e-12,True
5,house-related/furnishing-related,0.23589420120800322,1.3201583847196357e-13,True,-0.52713517953010713,9.2128374596050101e-70,True
6,valuable/precious,0.038650797027960496,0.23152569223694808,False,-0.11275427702504626,0.00046494536166259806,True
7,transportation-/movement-related,0.040301458394157413,0.21218673772209506,False,-0.43702944219322915,4.7581028993185409e-46,True
8,body-/people-related,-0.36538967387934518,1.0822687828945961e-31,True,0.075668296084729775,0.019037075707285096,True
9,wood-related/brown,0.14221078545154009,9.7341011283909535e-06,True,-0.26192912656801043,1.59126892325562e-16,True
10,electronics / technology,0.11981571322169327,0.00019849112323516293,True,-0.36837477136331664,3.1939443422303665e-32,True
11,colorful / playful,0.062297701415839832,0.053658486153899551,False,0.040685870645536262,0.20785530810216349,False
12,outdoors,0.075547929171285319,0.019228894313654776,True,-0.19619075539668879,8.7602264252199522e-10,True
13,circular / round,0.19549910329148293,1.0059584280075894e-09,True,0.04164626892615822,0.19731444350057786,False
14,paper-related / flat,0.16061101014919651,5.6628069988006687e-07,True,-0.10652325600889478,0.00094769330848437769,True
15,hobby-related / game-related / playing-related,-0.029877326580290856,0.35511393554146559,False,-0.13723089316016326,1.9847033733814914e-05,True
16,tools-related / handheld / elongated,0.084158519768154694,0.0090863424627315413,True,0.029151186703471534,0.36693392715422019,False
17,fluid-related / drink-related,0.19386865845455889,1.3909346303207075e-09,True,-0.046014159586739413,0.15427468010054496,False
18,water-related,-0.071338169536211721,0.027086491966169315,True,-0.13048684231211866,5.011956513239694e-05,True
19,oriented / many things,0.22757349120641426,9.6258357525435558e-13,True,-0.0379085507258747,0.24061740356140818,False
20,powdery / earth-related / waste-related,0.080901869082963568,0.012158923963368007,True,-0.037440455429431897,0.24647858603572845,False
21,white,-0.013868802873166533,0.66779956594420142,False,0.0022634343311233231,0.94416288283023342,False
22,coarse-scale pattern / many things,0.22990807728981552,5.555478428681915e-13,True,0.18026275073890669,1.8648492873818562e-08,True
23,red,0.09886682879394354,0.0021636213858649478,True,0.054660901388600011,0.090519231233436845,False
24,long / thin,0.040264246539052348,0.21260945960242852,False,-0.092282633870359593,0.0042143424861313958,True
25,weapon-related / war-related / dangerous,-0.079367437812157729,0.013901934844814983,True,-0.059637240974352829,0.064742931212371527,False
26,black,-0.048395058240347053,0.13403183587672099,False,-0.044496947889241772,0.16833497412818568,False
27,household-related,0.22471995758588431,1.869273469881062e-12,True,-0.084953625007387373,0.0084503743723934963,True
28,feminine (stereotypical),-0.024377473377753374,0.45058720025691235,False,0.10464026086934768,0.0011668861829488516,True
29,body part-related,-0.17984042379597776,2.0151264346436877e-08,True,0.073621694009440214,0.022536075845882821,True
30,tubular,0.058986177427185371,0.067725404409410855,False,-0.013822343820370791,0.66884616533143948,False
31,music-related / hearing-related / hobby-related / loud,0.0065799870185229131,0.83865825777091219,False,-0.096795948501392781,0.0026798526202014535,True
32,grid-related / grating-related,0.13429015154918775,2.9886616237477897e-05,True,-0.067305576898620267,0.037066150136920703,True
33,repetitive / spiky,0.19826277652558508,5.771186679518538e-10,True,0.097127521748493734,0.0025902805885677791,True
34,construction-related / craftsmanship-related / housework-related,0.088626118908168378,0.0059994611015189879,True,-0.18428118756815653,8.8385813707770485e-09,True
35,spherical / voluminous,0.14373051748385865,7.7943009851147803e-06,True,0.20307086430573623,2.1531622072100769e-10,True
36,string-related / stringy / curved,0.010192003698187466,0.75246977382865332,False,0.02931596492430967,0.36423044084633321,False
37,seating / standing / lying-related,0.10834108371954251,0.00077281059171586497,True,-0.45215811355750701,1.4949570085373458e-49,True
38,flying-related / sky-related,-0.14287412445951694,8.8366557783720075e-06,True,-0.034270820460763247,0.28879412150854894,False
39,bug-related / non-mammalian / disgusting,-0.1462749183559276,5.3453509196058234e-06,True,0.10066551771272919,0.0017909135389312888,True
40,transparent / shiny / crystalline,0.079037290629233758,0.014304552278679755,True,0.054552628702908994,0.091160563949641005,False
41,sand colored,0.039643568629844299,0.21975000056369709,False,0.096853560922367132,0.0026640889683467225,True
42,green,0.14746494509706437,4.4711158337165835e-06,True,0.10171565731884849,0.0016015412684831352,True
43,bathroom-related / wetness-related,0.036217630295642678,0.26225891404155449,False,-0.1255553047312305,9.5968322900792882e-05,True
44,yellow,0.048044540362537268,0.13687614059407577,False,0.062607715295630806,0.052476453339885466,False
45,heat-related / fire-related / light-related,0.11515976282222234,0.00034976357137776851,True,-0.085520789897785249,0.0080213261823179529,True
46,beams-related  mesh-related,0.081625479972014317,0.011406229415928941,True,-0.27733807196337412,2.0574032514367082e-18,True
47,foot-related / walking-related,-0.11264044991311642,0.00047118700522553222,True,-0.011161525001176007,0.72980315129342543,False
48,box-related / container,0.17637251529378373,3.7815845901058965e-08,True,-0.2351048137742453,1.5992538781237288e-13,True
49,stick-shaped / container,0.060387790643483708,0.061439863026519728,False,0.040156879832097751,0.21383253445867681,False
50,head-related,-0.27545678958061659,3.5516872113439843e-18,True,0.070191644088761912,0.0296557751746491,True
51,upright / elongated and volumous,-0.046548527196252659,0.1495407490035732,False,-0.12468031188355272,0.00010742993261362983,True
52,pointed / spiky,0.034410560562849232,0.2868313240068735,False,0.047419139505323442,0.14206619399769332,False
53,child-related / toy-related / cute,-0.10584569995714199,0.0010217561471181041,True,-0.049404185319110117,0.12609781341220488,False
54,farm-related / historical,-0.1348719932136716,2.7579801148571702e-05,True,-0.067291494966364468,0.037105853677570182,True
55,seeing-related,-0.082796256505951876,0.010275627360193837,True,-0.051066998469104806,0.11382697024662577,False
56,medicine-related / health-related,-0.016299849339157516,0.61397478126685667,False,0.011202963845144997,0.72883941652389628,False
57,sweet / dessert-related,0.12249752678690835,0.00014189597372876524,True,0.1416595965773027,1.0545304273067925e-05,True
58,orange,0.06442994304089994,0.045959858563545924,True,0.018078951125823244,0.57583981943691787,False
59,thin / flat / wrapping,0.037293668194189972,0.24833696434372293,False,0.020705263887723677,0.52167732403719302,False
60,cylindrical / conical / cushioning,0.06607029989172572,0.040689230063387032,True,-0.10448571742504217,0.0011868097225389974,True
61,coldness-related / winter-related,-0.039864132517550263,0.2171931124852706,False,-0.013364049609339679,0.67920448630121111,False
62,measurement-related / numbers-related,0.043285806971782408,0.18023155439859961,False,-0.071906028368888764,0.025886613210988743,True
63,fluffy / soft,-0.082661864625827142,0.010400140410775291,True,0.092789627305437869,0.0040090909665651429,True
64,masculine (stereotypical),0.046859953847968476,0.14683334356315367,False,0.045266589002486528,0.16108700692119801,False
65,fine-grained pattern,0.10533739275241111,0.0010807910541927332,True,0.037469301990219361,0.24611452530857134,False
